id,Product Name,Brand,Main Category,Subcategory,Size / Unit,Price,Benchmark Price,Benchmark Source,Benchmark URL,Last Checked,Pricing Note
leitz-organizer-smart-folder-1-piece,Leitz Organizer Smart Folder,Leitz,Stationery,Files & Folders,1 piece,87200,,,,,
rexel-joy-five-part-file-1-piece,Rexel Joy Five Part File,Rexel,Stationery,Files & Folders,1 piece,8800,,,,,
rexel-zipper-pocket-a4-x5-a4-x-5,Rexel Zipper Pocket A4 x5,Rexel,Stationery,Files & Folders,A4 x 5,17100,,,,,
rexel-display-book-choices-a4-40-pockets-green-a4-40-pockets,Rexel Display Book Choices A4 40 Pockets - Green,Rexel,Stationery,Files & Folders,"A4, 40 pockets",2750,,,,,
rexel-display-book-choices-a4-40-pockets-black-a4-40-pockets,Rexel Display Book Choices A4 40 Pockets - Black,Rexel,Stationery,Files & Folders,"A4, 40 pockets",4000,,,,,
rexel-ice-expanding-file-a4-13-pockets-assorted-a4-13-pockets,Rexel Ice Expanding File A4 13 Pockets - Assorted,Rexel,Stationery,Files & Folders,"A4, 13 pockets",6300,,,,,
rexel-folder-advance-snap-in-2-pocket-navy-blue-2-pockets,Rexel Folder Advance Snap In 2 Pocket - Navy Blue,Rexel,Stationery,Files & Folders,2 pockets,1750,,,,,
rexel-folder-advance-stayput-purple-1-piece,Rexel Folder Advance StayPut - Purple,Rexel,Stationery,Files & Folders,1 piece,1960,,,,,
rexel-folder-advance-4-pocket-custom-red-4-pockets,Rexel Folder Advance 4 Pocket Custom - Red,Rexel,Stationery,Files & Folders,4 pockets,1850,,,,,
nini-foods-crispy-ijebu-garri-2-kg-2kg,Nini Foods Crispy Ijebu Garri 2 kg,Nini Foods,Foodstuffs,Garri,2kg,5755,,,,,
vine-dresser-foods-garri-ijebu-2-kg-2kg,Vine Dresser Foods Garri Ijebu 2 kg,Vine Dresser Foods,Foodstuffs,Garri,2kg,5815,,,,,
nini-foods-yellow-garri-3-kg-3kg,Nini Foods Yellow Garri 3 kg,Nini Foods,Foodstuffs,Garri,3kg,9915,,,,,
golden-penny-garri-5-kg-5kg,Golden Penny Garri 5 kg,Golden Penny,Foodstuffs,Garri,5kg,6925,,,,,
